coin,px,sz,side,time,startPosition,dir,closedPnl,hash,oid,crossed,fee,tid,feeToken,twapId,usd
ETH,3280.0,13.8849,B,2025-12-09 16:22:25.981,80280.1735,Open Long,0.0,0xec9e52398ee4324dee1804310f9c73021377001f29e7511f9066fd8c4de80c38,263739989715,False,1.821698,128213309158011,USDC,,45542.472
ETH,3280.0,0.9675,B,2025-12-09 16:22:25.981,80279.206,Open Long,0.0,0xd423ee6842306adad59d04310f9c73021374004ddd3389ac77ec99bb013444c5,263739989715,False,0.126936,227819591316128,USDC,,3173.4
ETH,3280.0,2.55,B,2025-12-09 16:22:25.981,80276.656,Open Long,0.0,0x6e7d01320f1de5e36ff604310f9c730213720017aa1104b51245ac84ce11bfce,263739989715,False,0.33456,1075480989382788,USDC,,8364.0
ETH,3280.0,9.1854,B,2025-12-09 16:22:25.981,80267.4706,Open Long,0.0,0xbba98a96f58ca367bd2304310f9c73021371007c908fc2395f7235e9b4807d52,263739989715,False,1.205124,347235176663180,USDC,,30128.111999999997
ETH,3280.0,39.32,B,2025-12-09 16:22:25.981,80228.1506,Open Long,0.0,0x08d613fbdbfb60ec0a4f04310f9c7302137000e176fe7fbeac9ebf4e9aff3ad6,263739989715,False,5.158784,267470219807757,USDC,,128969.6
ETH,3280.0,53.1116,B,2025-12-09 16:22:25.810,80175.039,Open Long,0.0,0x65279099980c388266a104310f9c71020b63007f330f575408f03bec5700126d,263739989715,False,6.968241,779336686436455,USDC,,174206.048
ETH,3280.0,3.5248,B,2025-12-09 16:22:25.752,80171.5142,Open Long,0.0,0x36abdb0c171d089e382504310f9c7002054100f1b2102770da74865ed610e288,263739989715,False,0.462453,8959365587044,USDC,,11561.344
ETH,3280.0,0.831,B,2025-12-09 16:22:25.752,80170.6832,Open Long,0.0,0x6b5e009fb0d7feaf6cd704310f9c7002053d00854bdb1d810f26abf26fdbd89a,263739989715,False,0.109027,650853074190054,USDC,,2725.68
ETH,3280.0,51.8168,B,2025-12-09 16:22:25.752,80118.8664,Open Long,0.0,0xb88a8a049746bc33ba0404310f9c7002053c00ea3249db055c533557564a961e,263739989715,False,6.798364,758603900906704,USDC,,169959.104
ETH,3280.0,20.9,B,2025-12-09 16:22:25.752,80097.9664,Open Long,0.0,0x05b713697db579b8073004310f9c7002053b004f18b8988aa97fbebc3cb953a2,263739989715,False,2.74208,71604601959780,USDC,,68552.0
ETH,3280.0,0.5527,B,2025-12-09 16:22:25.752,80097.4137,Open Long,0.0,0x52e39cce6424373c545d04310f9c7002053a00b3ff27560ef6ac482123281126,263739989715,False,0.072514,304796021953192,USDC,,1812.856
ETH,3280.0,0.0037,B,2025-12-09 16:22:25.045,80097.41,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,263739989715,False,0.000485,677426946635078,USDC,,12.136000000000001
ETH,3280.0,0.5334,B,2025-12-09 16:22:24.337,80096.8766,Open Long,0.0,0x84aa7dbdd9063ab5862404310f9c5c02071c00a37409598728732910980a14a0,263739989715,False,0.069982,168817373031327,USDC,,1749.552
ETH,3280.0,1.1905,B,2025-12-09 16:22:24.090,80095.6861,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,263739989715,False,0.156193,475185722451335,USDC,,3904.8399999999997
ETH,3280.0,0.5254,B,2025-12-09 16:22:23.992,80095.1607,Open Long,0.0,0xa8fa6c3c1ce1988faa7404310f9c59020d590021b7e4b7614cc3178edbe5727a,263739989715,False,0.068932,20011511368309,USDC,,1723.312
ETH,3280.0,0.543,B,2025-12-09 16:22:23.549,80094.6177,Open Long,0.0,0x1dcd76745ccf33c41f4704310f9c530206a50059f7c25296c19621c71bc30dae,263739989715,False,0.071241,1048365835858975,USDC,,1781.0400000000002
ETH,3280.0,0.0439,B,2025-12-09 16:22:23.344,80094.5738,Open Long,0.0,0x3b9079ae311142563d0a04310f9c510206bc0093cc146128df592500f0151c40,263739989715,False,0.005759,909810700661222,USDC,,143.99200000000002
ETH,3280.0,0.05,B,2025-12-09 16:22:23.058,80094.5238,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,263739989715,False,0.00656,318252830639458,USDC,,164.0
ETH,3280.0,0.6624,A,2025-12-09 16:21:12.413,80095.1862,Close Long,114.873408,0x904a9430f3701d9391c404310f98cb0203f000168e733c6534133f83b273f77e,263739263100,False,0.086906,7597932410299,USDC,,2172.672
ETH,3280.0,0.0107,A,2025-12-09 16:21:01.105,80095.1969,Close Long,1.855594,0x90099c4cb5d67323918304310f983a020d9b003250d991f533d2479f74da4d0e,263739263100,False,0.001403,46745054926949,USDC,,35.096
ETH,3280.0,0.0055,A,2025-12-09 16:21:01.014,80095.2024,Close Long,0.95381,0x0000000000000000000000000000000000000000000000000000000000000000,263739263100,False,0.000721,131120796636467,USDC,,18.04
ETH,3280.0,0.9601,A,2025-12-09 16:21:00.679,80096.1625,Close Long,166.500542,0x16c97620c5a54bc0184304310f9835020f79000660a86a92ba92217384a925aa,263739263100,False,0.125965,400007480508839,USDC,,3149.1279999999997
ETH,3280.0,0.75,A,2025-12-09 16:21:00.576,80096.9125,Close Long,130.065,0x8933e06b509858538aad04310f9833020c8a0050eb9b77252cfc8bbe0f9c323e,263739263100,False,0.0984,317705505576687,USDC,,2460.0
ETH,3280.0,0.31,A,2025-12-09 16:20:59.990,80097.2225,Close Long,53.7602,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.30504,430330280192443,USDC,,1016.8
ETH,3280.0,0.31,A,2025-12-09 16:20:59.990,80097.5325,Close Long,53.7602,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.30504,896172471319961,USDC,,1016.8
ETH,3280.0,0.31,A,2025-12-09 16:20:59.990,80097.8425,Close Long,53.7602,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.30504,1117769600347946,USDC,,1016.8
ETH,3280.0,0.3,A,2025-12-09 16:20:59.990,80098.1425,Close Long,52.026,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.2952,963351565745584,USDC,,984.0
ETH,3280.0,0.0061,A,2025-12-09 16:20:59.990,80098.1486,Close Long,1.057862,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.006002,196443551433254,USDC,,20.008000000000003
ETH,3280.0,13.4936,A,2025-12-09 16:20:59.990,80111.6422,Close Long,2340.060112,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,13.277702,301571352636162,USDC,,44259.008
ETH,3280.0,0.0266,A,2025-12-09 16:20:59.990,80111.6688,Close Long,4.612972,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.026174,395698044834174,USDC,,87.24799999999999
ETH,3280.1,0.305,A,2025-12-09 16:20:59.990,80111.9738,Close Long,52.9236,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300129,872041319404748,USDC,,1000.4304999999999
ETH,3280.1,54.787,A,2025-12-09 16:20:59.990,80166.7608,Close Long,9506.64024,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,53.912051,847492870500548,USDC,,179706.8387
ETH,3280.1,0.31,A,2025-12-09 16:20:59.990,80167.0708,Close Long,53.7912,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.305049,727787957046910,USDC,,1016.831
ETH,3280.1,0.178,A,2025-12-09 16:20:59.990,80167.2488,Close Long,30.88656,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.175157,654217820061179,USDC,,583.8578
ETH,3280.1,0.3127,A,2025-12-09 16:20:59.990,80167.5615,Close Long,54.259704,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.307706,285322764101993,USDC,,1025.68727
ETH,3280.1,4.608,A,2025-12-09 16:20:59.990,80172.1695,Close Long,799.58016,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,4.53441,291325583985778,USDC,,15114.700799999999
ETH,3280.1,17.0812,A,2025-12-09 16:20:59.990,80189.2507,Close Long,2963.929824,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,16.808413,1044017852386065,USDC,,56028.04412
ETH,3280.2,0.7486,A,2025-12-09 16:20:59.990,80189.9993,Close Long,129.971932,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.736667,769786867829751,USDC,,2455.55772
ETH,3280.2,0.6975,A,2025-12-09 16:20:59.990,80190.6968,Close Long,121.09995,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.686381,877681891957263,USDC,,2287.9395
ETH,3280.2,0.0061,A,2025-12-09 16:20:59.990,80190.7029,Close Long,1.059082,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.006002,773354134499858,USDC,,20.00922
ETH,3280.2,11.8146,A,2025-12-09 16:20:59.990,80202.5175,Close Long,2051.250852,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,11.626275,559701503244997,USDC,,38754.25092
ETH,3280.2,0.305,A,2025-12-09 16:20:59.990,80202.8225,Close Long,52.9541,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300138,654308753809175,USDC,,1000.4609999999999
ETH,3280.2,0.31,A,2025-12-09 16:20:59.990,80203.1325,Close Long,53.8222,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.305058,520315723092365,USDC,,1016.862
ETH,3280.2,0.31,A,2025-12-09 16:20:59.990,80203.4425,Close Long,53.8222,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.305058,48584633192622,USDC,,1016.862
ETH,3280.2,0.305,A,2025-12-09 16:20:59.990,80203.7475,Close Long,52.9541,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300138,434070478144915,USDC,,1000.4609999999999
ETH,3280.2,0.31,A,2025-12-09 16:20:59.990,80204.0575,Close Long,53.8222,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.305058,446071036887305,USDC,,1016.862
ETH,3280.2,0.305,A,2025-12-09 16:20:59.990,80204.3625,Close Long,52.9541,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300138,248941554948821,USDC,,1000.4609999999999
ETH,3280.2,2.6166,A,2025-12-09 16:20:59.990,80206.9791,Close Long,454.294092,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,2.574891,712684296409446,USDC,,8582.971319999999
ETH,3280.2,0.305,A,2025-12-09 16:20:59.990,80207.2841,Close Long,52.9541,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300138,175192620660635,USDC,,1000.4609999999999
ETH,3280.2,0.305,A,2025-12-09 16:20:59.990,80207.5891,Close Long,52.9541,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300138,935848238600393,USDC,,1000.4609999999999
ETH,3280.2,0.305,A,2025-12-09 16:20:59.990,80207.8941,Close Long,52.9541,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300138,490106922880772,USDC,,1000.4609999999999
ETH,3280.2,50.2949,A,2025-12-09 16:20:59.990,80258.189,Close Long,8732.200538,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,49.493199,114505936434920,USDC,,164977.33098
ETH,3280.3,121.8114,A,2025-12-09 16:20:59.990,80380.0004,Close Long,21161.076408,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,119.87338,49623912274901,USDC,,399577.93542000005
ETH,3280.3,137.1572,A,2025-12-09 16:20:59.990,80517.1576,Close Long,23826.948784,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,134.975028,951308527280159,USDC,,449916.76316
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80517.4626,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,357495758713221,USDC,,1000.4915000000001
